Poem Name,Word Type,Word,POS_Tag
sggk,General Word,After,RANGE_period
sggk,General Word,the,FUNC_determiner
sggk,Noun,siege,ENTITY_noun
sggk,General Word,and,FUNC_conjunction
sggk,General Word,the,FUNC_determiner
sggk,Noun,attack,ENTITY_nouny
sggk,General Word,at,FUNC_inner
sggk,General Word,Troy,LOCATION
sggk,General Word,had,ASPECT
sggk,Verb,ended,ACTION_verb
sggk,General Word,",",PUNCTUATION
sggk,General Word,the,FUNC_determiner
sggk,Noun,city,ENTITY_nouny
sggk,Verb,destroyed,ACTION_verb
sggk,General Word,and,FUNC_conjunction
sggk,Verb,burnt,ACTION_verb
sggk,General Word,to,FUNC_inner
sggk,Verb,charred,ACTION_verb
sggk,General Word,timbers,ENTITY_oov
sggk,General Word,and,FUNC_conjunction
sggk,General Word,ashes,ENTITY_oov
sggk,General Word,",",PUNCTUATION
sggk,General Word,the,FUNC_determiner
sggk,Noun,man,ENTITY_nouny
sggk,General Word,who,CLAUSE_WhoQ
sggk,Verb,framed,ACTION_verb
sggk,General Word,the,FUNC_determiner
sggk,General Word,treasonable,MODIFIER
sggk,Noun,plots,ENTITY_nouny
sggk,General Word,there,LOCATION
sggk,General Word,was,AUX
sggk,Verb,tried for,VerbP
sggk,General Word,his,ENTITY_possessive
sggk,Noun,treachery,ENTITY_nouny
sggk,General Word,",",PUNCTUATION
sggk,General Word,the,FUNC_determiner
sggk,General Word,most,QUANTIFIER
sggk,General Word,authentic,MODIFIER
sggk,Noun,example,ENTITY_nouny
sggk,General Word,on,RANGE_locality
sggk,Noun,earth,ENTITY_noun
sggk,General Word,.,PUNCTUATION
sggk,Pronoun,It,ENTITY_pronoun
sggk,General Word,was,AUX
sggk,General Word,the,FUNC_determiner
sggk,Noun,noble,ENTITY_nouny
sggk,General Word,Aeneas,ENTITY_oov
sggk,General Word,and,FUNC_conjunction
sggk,General Word,his,ENTITY_possessive
sggk,General Word,great,MODIFIER
sggk,Noun,offspring,ENTITY_nouny
sggk,General Word,",",PUNCTUATION
sggk,General Word,who,CLAUSE_WhoQ
sggk,General Word,afterwards,FUNC_inner
sggk,Verb,subjugated,ACTION_verb
sggk,General Word,provinces,ENTITY_oov
sggk,General Word,and,FUNC_conjunction
sggk,Verb,became,ACTION_verb
sggk,General Word,masters,ENTITY_oov
sggk,General Word,of,FUNC_inner
sggk,General Word,almost,MODIFIER
sggk,General Word,all,QUANTIFIER
sggk,General Word,the,FUNC_determiner
sggk,Noun,wealth,ENTITY_nouny
sggk,General Word,of,FUNC_inner
sggk,General Word,the,FUNC_determiner
sggk,Noun,lands,ENTITY_nouny
sggk,General Word,of,FUNC_inner
sggk,General Word,the,FUNC_determiner
sggk,General Word,west,LOCATION
sggk,General Word,.,PUNCTUATION
sggk,General Word, ,PUNCTUATION
sggk,General Word,When,CLAUSE_WhenQ
sggk,General Word,noble,ENTITY_oov
sggk,General Word,Romulus,ENTITY_oov
sggk,Verb,proceeds,ACTION_verb
sggk,General Word,swiftly,MODIFIER
sggk,General Word,to,FUNC_inner
sggk,General Word,Rome,LOCATION
sggk,General Word,",",PUNCTUATION
sggk,Pronoun,he,ENTITY_pronoun
sggk,Verb,builds,ACTION_verb
sggk,General Word,that,FUNC_determiner
sggk,Noun,city,ENTITY_nouny
sggk,General Word,in,RANGE_locality
sggk,General Word,the,FUNC_determiner
sggk,Noun,beginning,ENTITY_noun
sggk,General Word,with,FUNC_inner
sggk,General Word,great,MODIFIER
sggk,Noun,pomp,ENTITY_noun
sggk,General Word,and,FUNC_conjunction
sggk,Verb,names,ACTION_verb
sggk,Pronoun,it,ENTITY_pronoun
sggk,General Word,with,FUNC_inner
sggk,General Word,his own,MODIFIER
sggk,Noun,name,ENTITY_noun
sggk,General Word,",",PUNCTUATION
sggk,General Word,as,FUNC_inner
sggk,Pronoun,it,ENTITY_pronoun
sggk,General Word,is,AUX
sggk,General Word,now,TIME_justtime
sggk,Verb,called,ACTION_verb
sggk,General Word,;,PUNCTUATION
sggk,General Word,Ticius,ENTITY_oov
sggk,Verb,goes to,VerbP
sggk,General Word,Tuscany,LOCATION
sggk,General Word,and,FUNC_conjunction
sggk,General Word,founds,ENTITY_oov
sggk,General Word,dwellings,ENTITY_oov
sggk,General Word,",",PUNCTUATION
sggk,General Word,Langaberde,ENTITY_oov
sggk,Verb,raises,ACTION_verb
sggk,General Word,up,FUNC_inner
sggk,General Word,homes,ENTITY_oov
sggk,General Word,in,RANGE_locality
sggk,General Word,Lombardy,LOCATION
sggk,General Word,",",PUNCTUATION
sggk,General Word,and,FUNC_conjunction
sggk,General Word,far,MODIFIER
sggk,General Word,over,RANGE_locality
sggk,General Word,the,FUNC_determiner
sggk,Noun,French,ENTITY_noun
